Date,App,User,Review
2022-03-04 04:05:55+00:00,KreditBee,XpressBengaluru,There should be some manul intervention as well to check customer's worthy. Very bad service experience.
2022-03-04 04:05:55+00:00,KreditBee,Snehal Jadhav,There should be some manul intervention as well to check customer's worthy. Very bad service experience.
2022-03-04 04:05:51+00:00,KreditBee,shebaz shaikh,This app I'm using almost like 1year and i had an wonderful experience. Not like others fraud app it's very genuine app best of my knowledge.
2022-03-04 04:05:51+00:00,KreditBee,Saransh Patel," Well thanks for helping but your interest rates are very high. Also you provide money already deducted from the money sanctioned, as well as you also charge full while paying. "
2022-03-04 04:05:49+00:00,KreditBee,Hiren Joshi,"The overall experience with KreditBee was good. I applied for an online personal loan, and the service was quick. The entire process was fast and smooth, and the loan was sanctioned without any hassles. Thanks to KreditBee for helping me to get a loan approved on the same day."
2022-03-04 04:05:47+00:00,KreditBee,Mujju1503,"Bad app. I'm trying to apply for a loan but the system is not allowing and giving a message that apply after 6 months. Seriously! I understand, sometimes there are some genuine issues regarding late EMI, missed an emi etc. But 6 months. A very big gap. "
2022-03-04 04:05:41+00:00,KreditBee,deepesh1888,"Its a very good app for instant personal loan. If you repay your loan amount in a given period, It will increase your credit score and will help you to get better loan option for next time with increased repayment duration. Also it is easy to use and trustworthy."
2022-03-04 04:05:39+00:00,KreditBee,Subash king Yasss,"As soon as I uploaded my documents amount has been credited to my account,I tried many apps but no one responded so quickly and credited money ,but if there issue in paying back it is not good to me if any extra hidden charges are there I would be upset ,so hoping for the best for supporting me while paying back....another review will be next thanks u all for the best . however it is best app I have seen"
2022-03-04 04:05:31+00:00,KreditBee,BagolaSay10,"Great as a device to read books. I like that it links with my borrowed library e-books. Switched from another popular tablet brand and I am happy with the choice I made. It took some time to get books from my previous non-Kindle reader, but finally figured out a way!"
2022-03-04 04:05:20+00:00,KreditBee,Pooja08837493,I love ordering books and reading them with the reader.
2022-03-04 04:05:14+00:00,KreditBee,naeemshafique_,Not easy for elderly users cease of ads that pop up.
2022-03-04 04:05:10+00:00,KreditBee,Mac Fernandes,"Its good. Money credits in seconds after the application process has been completed. Only drawback is the interest rate which is exorbitantly high, hence one star less."
2022-03-04 04:05:04+00:00,KreditBee,SOUMITRA DEBNATH,I like the app most. It provides affordable personal loans and online purchase loan. The process of disbursement of the loan amount is very easy. But tenure should be increased to 2 or 3 years for bigger amount loans and processing fees and rate of interest should be reduced.
2022-03-04 04:04:56+00:00,KreditBee,markVIIseventh,Fraud app I appealed for deactivation and they made me get a e-vochure. They are just frauds who are giving loans with high processing fee. They did it during a call. Fraud during the call and after the 2nd time call they have not lifted. After that they say is wrong number. No.1 fraud app with high
2022-03-04 04:04:55+00:00,KreditBee,Ankush Singh,"Interface is user friendly, there is no doubt about it. But it could be better. Specially the transition has a little lag or something. Please fix that."
2022-03-04 04:04:47+00:00,KreditBee,subhash subhash,It was working fine.all of sudden app is not working I am not Abe to close the loan and app is not working at all and unable to contact customer Care also.. Why did happened so...?? The app is showing only blank screen and unable to view anything I don't know what is the reason.
2022-03-04 04:04:45+00:00,KreditBee,Harry Nellikkal,Excellent App. The best and most trustworthy app. The loan is processed and loan amount is disbursed immediately in you Bank Account. The repayment tenure is very flexible. The repayment is very easy. It's highly recommended.
2022-03-04 04:04:45+00:00,KreditBee,Vishal M,This is app for instance credit.
