Date,App,User,Review
2022-03-01 04:05:55+00:00,REVI Credit,Richard Cruz,Disappointing. Apps always loading.
2022-03-04 04:05:55+00:00,REVI Credit,Cody Baker,There should be some manul intervention as well to check customer's worthy. Very bad service experience.
2022-03-04 04:05:51+00:00,REVI Credit,shebaz shaikh,Very Bad App. a lot of errors and many times not working. 
2022-03-04 04:05:51+00:00,REVI Credit,Saransh Patel," Well thanks for helping but your interest rates are very high. Also you provide money already deducted from the money sanctioned, as well as you also charge full while paying. "
2022-03-04 04:05:49+00:00,REVI Credit,Hiren Joshi,This app isn't working at all 
2022-03-04 04:05:47+00:00,REVI Credit,Mujju1503,"Bad app. I'm trying to apply for a loan but the system is not allowing and giving a message that apply after 6 months. Seriously! I understand, sometimes there are some genuine issues regarding late EMI, missed an emi etc. But 6 months. A very big gap. "
2022-03-04 04:05:41+00:00,REVI Credit,deepesh1888,App not working properly. They charged me without disbursing amount. 
2022-03-04 04:05:39+00:00,REVI Credit,Subash king Yasss,"As soon as I uploaded my documents amount has been credited to my account,I tried many apps but no one responded so quickly and credited money ,but if there issue in paying back it is not good to me if any extra hidden charges are there I would be upset ,so hoping for the best for supporting me while paying back....another review will be next thanks u all for the best . however it is best app I have seen"
2022-03-04 04:05:31+00:00,REVI Credit,BagolaSay10,"Great as a device to read books. I like that it links with my borrowed library e-books. Switched from another popular tablet brand and I am happy with the choice I made. It took some time to get books from my previous non-Kindle reader, but finally figured out a way!"
2022-03-04 04:05:20+00:00,REVI Credit,Pooja08837493,I cant login. System busy error and it been months now without fix. Sad! They offer na i am eligible but I cant access the app. Will send a report to DTI and BSP for mis-information.
2022-03-04 04:05:14+00:00,REVI Credit,naeemshafique_,Not easy for elderly users cease of ads that pop up.
2022-03-04 04:05:10+00:00,REVI Credit,Mac Fernandes,Not user friendly. I registered and it says I already have credentials so I'll just login. I thought it is because I registered in their online bank app before. But that was long ago and there's no option for me to recall my username and password.
2022-03-04 04:05:04+00:00,REVI Credit,SOUMITRA DEBNATH,I do not like the app. It provides  personal loans with very high rates. rate of interest should be reduced.
2022-03-04 04:04:56+00:00,REVI Credit,markVIIseventh,Fraud app I appealed for deactivation and they made me get a e-vochure. They are just frauds who are giving loans with high processing fee. They did it during a call. Fraud during the call and after the 2nd time call they have not lifted. After that they say is wrong number. No.1 fraud app with high
2022-03-04 04:04:55+00:00,REVI Credit,Ankush Singh,"Interface is user friendly, there is no doubt about it. But it could be better. Specially the transition has a little lag or something. Please fix that."
2022-03-04 04:04:47+00:00,REVI Credit,subhash subhash,It was working fine.all of sudden app is not working I am not Abe to close the loan and app is not working at all and unable to contact customer Care also.. Why did happened so...?? The app is showing only blank screen and unable to view anything I don't know what is the reason.
2022-03-04 04:04:45+00:00,REVI Credit,Harry Nellikkal,False advertisement. So many required documents when they can simply pull up your file from CIMB bank's database.
2022-03-04 04:04:45+00:00,REVI Credit,Vishal M,This is app for instance credit.
